10.11. 13:00;Japonia;Brazylia;1:3
10.11. 12:35;Chiny;Serbia;0:2
10.11. 12:00;Korea Poudniowa;Kolumbia;2:1
10.11. 10:30;Biaoru U21;Litwa U21;0:0
09.11. 20:45;Szkocja;Holandia;0:1
09.11. 20:00;Luksemburg;Wgry;2:1
09.11. 19:30;Iran;Panama;2:1
09.11. 19:15;Rumunia;Turcja;2:0
09.11. 18:00;Finlandia;Estonia;3:0
09.11. 18:00;Holandia U18;Czechy U18;1:4
09.11. 16:00;Holandia U19;Wochy U19;2:1
09.11. 15:00;Armenia;Biaoru;4:1
09.11. 14:00;Belgia U18;Irlandia U18;3:0
09.11. 13:00;Hong Kong;Bahrajn;0:2
09.11. 12:30;Kamboda;Myanmar;1:2
09.11. 12:30;Singapur;Liban;0:1
09.11. 11:00;Austria U18;Polska U18;0:1
09.11. 01:30;Nikaragua;Dominikana;0:3
08.11. 20:00;Anglia U17;Portugalia U17;3:2
08.11. 15:45;Islandia;Czechy;1:2
08.11. 15:30;Kongo;Benin;1:1
07.11. 18:00;Arabia Saudyjska;otwa;2:0
29.10. 01:00;Bermudy;Barbados;2:3
25.10. 01:00;Grenada;Panama;0:5
10.10. 19:15;Arabia Saudyjska;Ghana;0:3
10.10. 18:30;Wochy U21;Maroko U21;4:0
10.10. 18:00;Katar;Curacao;1:2
10.10. 18:00;Rosja;Iran;1:1
10.10. 16:00;Gabon;Benin;0:1
10.10. 15:30;Maroko;Korea Poudniowa;3:1
10.10. 15:00;Gruzja U19;Finlandia U19;2:0
10.10. 12:30;Japonia;Haiti;3:3
09.10. 17:00;Sowacja U19;Anglia U19;2:2
09.10. 13:00;Gwinea Rwnikowa;Mauritius;3:1
08.10. 23:00;Kanada;Salwador;0:1
08.10. 15:00;Gruzja U19;Finlandia U19;2:1
08.10. 14:30;Tajlandia;Kenia;1:0
07.10. 23:00;Grenada;Guyana;1:0
07.10. 19:15;Arabia Saudyjska;Jamajka;5:2
07.10. 16:00;Rosja;Korea Poudniowa;4:2
07.10. 16:00;Tanzania;Malawi;1:1
07.10. 13:00;Belgia U19;Rosja U19;2:1
06.10. 20:00;Mauretania;Comoros;0:1
06.10. 16:00;Sowacja U19;Grecja U19;0:1
06.10. 12:20;Japonia;Nowa Zelandia;2:1
05.10. 20:00;Wgry U21;Wochy U21;2:6
05.10. 18:00;Irak;Kenia;2:1
05.10. 18:00;Katar;Singapur;3:1
05.10. 16:45;Iran;Togo;2:0
05.10. 16:00;Walia U19;Szwajcaria U19;0:2
05.10. 14:00;Hong Kong;Laos;4:0
05.10. 14:00;Myanmar;Tajlandia;1:3
05.10. 13:00;Chiskie Tajpej;Mongolia;4:2
05.10. 11:30;Bohemians 1905;Czechy U21;1:3
04.10. 17:15;Oman;Jordania;1:1
04.10. 16:30;Indonezja;Kamboda;3:1
04.10. 15:00;Uganda;Madagascar;1:2
02.10. 15:00;Laos;Makao;1:3
30.09. 17:00;Botswana;Etiopia;2:0
19.09. 15:00;Cypr U19;Sowacja U19;1:0
14.09. 09:30;Bugaria U19;Bonia Hercegowina U19;0:2
06.09. 09:00;Finlandia U18;Austria U18;1:1
05.09. 20:45;Anglia U19;Niemcy U19;1:3
05.09. 19:00;Mauretania;Niger;0:2
05.09. 17:30;Czarnogra U21;Bonia Hercegowina U21;1:1
05.09. 15:30;Wochy U19;Rosja U19;2:1
05.09. 14:00;Irlandia Pnocna U19;Cypr U19;1:0
04.09. 21:15;Wochy U21;Sowenia U21;4:1
04.09. 18:00;Austria U21;Chorwacja U21;1:1
04.09. 18:00;Walia U19;Islandia U19;0:1
04.09. 17:30;Finlandia U19;Holandia U19;0:9
04.09. 17:00;Serbia U19;Izrael U19;3:1
04.09. 16:00;Grecja U19;otwa U19;5:0
04.09. 16:00;Togo;Malawi;0:1
04.09. 16:00;Ukraina U19;Wgry U19;2:1
04.09. 15:30;Czarnogra U19;Szkocja U19;3:2
04.09. 14:00;Irlandia U19;Czechy U19;2:1
04.09. 12:00;Belgia U19;Portugalia U19;1:3
04.09. 12:00;Biaoru U19;Estonia U19;0:1
03.09. 20:00;Irlandia Pnocna U19;Cypr U19;0:0
03.09. 17:00;Gwinea Rwnikowa;Benin;1:2
03.09. 01:00;Kanada;Jamajka;2:0
02.09. 18:00;Mozambik;Kenia;1:1
02.09. 11:00;Indonezja;Fidi;0:0
